Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/22  01:00:00,16.257102727133677,15.173947964598216,15.187766193699371,15.193639802132614,15.237624652201443,-9.36619847108166,-1.7341771028034505,-1.9743937736570127,-2.036669185036091,-2.0383284962052244,-2.0087998046470164 
 01/22  02:00:00,16.02104914358687,15.318218495300128,15.218847262806221,15.225201240205338,15.257596735256799,-6.547191647994294,-1.7738544680468111,-1.952074923276882,-2.023512331808401,-2.0257843522485657,-1.9987362544349938 
 01/22  03:00:00,15.973335675725101,15.360140861771175,14.98907317030996,14.996629216179889,15.05340722663659,-5.219332118122152,-1.7842769667772187,-1.942623518689846,-2.0476042747723886,-2.050027044935567,-2.0206147516721957 
 01/22  04:00:00,15.943871098225843,15.221676205388917,15.242469924931896,15.244774410853285,15.283681872061688,-5.05919760949362,-1.7911731465399057,-1.9610974793232863,-2.0133494598698825,-2.016657210914825,-1.9901147304275497 
 01/22  05:00:00,15.914892225853928,15.356991232531806,15.274618657856694,15.277235075928342,15.308378988515255,-5.9357195754147565,-1.798066886492802,-1.9489882700340628,-2.008526894123469,-2.01140517946499,-1.987542964245717 
 01/22  06:00:00,15.878540635714964,15.377319850202115,15.045194998967915,15.048263348209895,15.100621871340515,-7.32079730614226,-1.8063491476062092,-1.9492970713255453,-2.03999697604235,-2.042648133393656,-2.017184521297087 
 01/22  07:00:00,15.842978206478115,15.227364132999448,15.262590307368638,15.264392601390602,15.297381543787711,-7.219945428784515,-1.8143140452391764,-1.9710599552196202,-2.013202580761431,-2.015755720776979,-1.9937180829549412 
 01/22  08:00:00,15.819672408321924,15.390291959293716,15.312971987682598,15.292830432716743,15.318336864824694,-6.609934085352387,-1.8195598138659737,-1.9439620834397822,-1.9911167423476033,-2.0091458783643508,-1.9894219671632742 
 01/22  09:00:00,15.840102062012573,15.313981726474916,15.244167479072246,15.120730109791797,15.164475213756026,-4.168840387790042,-1.815095230923704,-1.9289579240646708,-1.9703901638724273,-2.023370093181645,-2.0017341174876124 
 01/22  10:00:00,15.864469583828571,15.235379380908167,15.368288325343908,15.318914311697814,15.346412919600372,-1.156567797708731,-1.810842994361264,-1.946024655488837,-1.9631786437672618,-1.9925755401440353,-1.973078579047638 
 01/22  11:00:00,16.245520427758713,15.319938144404095,15.394889186998162,15.355873675307894,15.37673476188421,1.442336528049227,-1.7559880825630236,-1.916917570928774,-1.950226470395818,-1.9761289624355678,-1.9586514412032319 
 01/22  12:00:00,16.404049870492607,15.584642921950046,15.302837816617153,15.247640416572503,15.288437658809233,6.1157769389832275,-1.7252005472777858,-1.845269843743479,-1.9542428757385895,-1.9782612920591065,-1.9577905383288323 
 01/22  13:00:00,16.524998858340453,16.27387412144462,15.259144995946366,15.228628953630226,15.263118145027578,12.293483970159919,-1.6994009724583665,-1.6953128327589173,-1.9520217704183316,-1.970084160496954,-1.9494379666694994 
 01/22  14:00:00,16.65029486021378,16.84009791216052,15.282843516292957,15.205121289526785,15.368402411088903,16.08165079508764,-1.6723066367700155,-1.5670547725153956,-1.9399939949996465,-1.9681609897736592,-1.906010975197923 
 01/22  15:00:00,16.757687372059888,17.205826398620857,15.258849427587947,15.397872454052193,15.554896208900777,15.459139612599486,-1.6490647889626628,-1.477087822031626,-1.9400056500860072,-1.9412039607956741,-1.8375422292000518 
 01/22  16:00:00,16.835483979097265,17.08357212913882,15.225520547002901,15.413329042788341,15.887165313216224,11.5308144657651,-1.6319286223272869,-1.495850450985539,-1.9482554559798242,-1.9380398257231901,-1.762656793419979 
 01/22  17:00:00,16.88646846687084,16.75655468288222,15.170192832048974,15.24176646716477,16.036003024446174,5.777790488153193,-1.6207521535736757,-1.56896802358934,-1.967235627401088,-1.9682032212808154,-1.7330806171767623 
 01/22  18:00:00,16.83883623381614,15.893848909155315,15.355631136729064,15.341665977266134,15.23415592425761,-0.9171577957631292,-1.6327425738273216,-1.7473138403151172,-1.9587136722799192,-1.9708405585871995,-1.9011586981431652 
 01/22  19:00:00,16.720362290264166,15.370114990561454,15.34130425764781,15.331781641027725,15.40963276270115,-5.65042963393819,-1.6584671046616828,-1.8606430029544165,-1.9746859819345475,-1.9841730034998462,-1.9151553275519122 
 01/22  20:00:00,16.618480014810306,15.29518197535212,15.07880106693632,15.069380657339856,15.384218448875487,-8.217859645318942,-1.6801913232360242,-1.9040497619579912,-2.022110943959469,-2.029800794433805,-1.9418157734611738 
 01/22  21:00:00,16.540496730426455,15.22402195478035,15.254576439159406,15.251206002699897,15.175126882328493,-9.393625591315136,-1.6967040115067331,-1.9335635541865461,-2.0098634104295248,-2.0154763356438514,-1.9852064107541376 
 01/22  22:00:00,16.48484344676229,15.244269684719276,15.266032791506856,15.265463080083286,15.294741860839574,-9.706471224060053,-1.7085926121538086,-1.94437745652437,-2.0148016099866517,-2.018963780105965,-1.9833485617517415 
 01/22  23:00:00,16.442007838442372,15.362685575793408,14.992298826148819,14.99457781354118,15.305065392079674,-10.3320778247747,-1.717815736440791,-1.9417873627713687,-2.058030500839811,-2.060993353512649,-1.9913331974075899 
 01/22  24:00:00,16.40687791886101,15.383831795096107,15.224687644930269,15.225775872592113,15.09594780523473,-10.314398906877955,-1.7254017197962237,-1.9467382426792401,-2.034261287986248,-2.036853588571083,-2.025859671792462 
