Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/29  01:00:00,17.904203198408453,17.75160402765665,15.354205710721992,15.17032574430366,15.338907769558983,-7.5764846207880305,-1.3663331228589592,-1.3583120057789282,-1.9341542005536663,-2.013547787525076,-1.9466593628064504 
 01/29  02:00:00,17.613406738390236,17.59562876895011,15.22341008568111,15.328011902442597,15.30599768920875,-10.14575654087554,-1.417213076340327,-1.4002303914009415,-1.9616172623683874,-2.0013278550773483,-1.958289499300243 
 01/29  03:00:00,17.506459254622786,17.316847922905133,15.182738361801107,15.32057091225367,15.135538866229197,-11.539497702449864,-1.4407439013806587,-1.455077075896079,-1.9765531558462262,-2.0066007558104832,-1.9912687110408558 
 01/29  04:00:00,17.421760885151066,17.005872499850444,15.19901527428695,15.065753889188425,15.33464733690896,-12.226988039046304,-1.4598934326730517,-1.5201538625004871,-1.9816393956271336,-2.046869222204224,-1.9736011284530055 
 01/29  05:00:00,17.347859453300526,16.874144106297432,15.350966715843526,15.263109983167684,15.353603230847872,-12.766231100812798,-1.4766307291847665,-1.55381753338785,-1.9672186414689956,-2.0256346762005037,-1.975380169187078 
 01/29  06:00:00,17.28731854593906,16.6920182843361,15.356540451964467,15.286990209843768,15.147796079403637,-11.79815671026861,-1.4903929370837776,-1.59363123314166,-1.9704249630524417,-2.0234999207638924,-2.0071803245442417 
 01/29  07:00:00,17.23407208253291,16.520370259171035,15.159416374648899,15.04511349652132,15.305691391914163,-11.7857477475827,-1.5026826560449225,-1.631518684111969,-2.0010245969143385,-2.057693764070835,-1.9923706508136858 
 01/29  08:00:00,17.18646253446814,16.53477264355427,15.388056157287306,15.259247874836499,15.337949441756528,-11.374030411942119,-1.5133860258798308,-1.6304737996583383,-1.956702151525777,-2.0316992390960507,-1.9885342416835603 
 01/29  09:00:00,17.223652618970924,17.47293483347301,16.003345581990104,15.340871777179888,15.239085336009316,-6.958859890037396,-1.5032565973885545,-1.4228937992986452,-1.7718522922578974,-2.0038423406450363,-1.987043591564217 
 01/29  10:00:00,17.32052600486478,18.57848749856879,16.651017280710725,15.243986381453862,15.304427797387621,3.3635625554011788,-1.4822372703453086,-1.1891529212007936,-1.6324535661601218,-1.9974608952730257,-1.9582523572676414 
