Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/08  01:00:00,16.09744835632948,15.243898778358584,15.02559138214811,15.02720568584201,15.164996134795096,-7.863705677318134,-1.759959492751169,-1.968308137472023,-2.0367809505160306,-2.040405643426981,-2.000874753360053 
 01/08  02:00:00,15.866049410465374,15.342026777120006,15.250316309195576,15.25114109456397,15.289820069542294,-6.1006899709397615,-1.7989552645198552,-1.9587377321786414,-2.0089673444442977,-2.0125966062866802,-1.9871378729869265 
 01/08  03:00:00,15.815493187224122,15.366483560648657,15.292070093233894,15.292343677349832,15.323324974955758,-5.48441516627073,-1.809912773374439,-1.955943295799862,-2.0012016991847696,-2.0046096729563114,-1.9819381011207569 
 01/08  04:00:00,15.785171088811698,15.196065656104025,15.068881727613455,15.06997729300223,15.120530140549278,-4.743864459230287,-1.8166899826797889,-1.9792561468867746,-2.029444557259579,-2.0325572818385393,-2.0085496411793216 
 01/08  05:00:00,15.762974647147391,15.346974477436145,15.26843530908112,15.268321317712104,15.300096844580843,-4.47195928899688,-1.8218658802428858,-1.9622323723415318,-2.0050744380210737,-2.0086001902714075,-1.9873933042230458 
 01/08  06:00:00,15.740540352956554,15.366509469872147,15.300803078931644,15.300501454616901,15.326900544715187,-4.737075887720457,-1.8270941518194659,-1.9600008479525834,-1.9990759666575475,-2.0024006503894602,-1.9830536417404536 
 01/08  07:00:00,15.718132440103094,15.196195761369285,15.083791519026988,15.083858729733041,15.127689835550855,-4.698712155118324,-1.8322177444096674,-1.983276053284619,-2.0269241427841065,-2.030026049151688,-2.009240319654687 
 01/08  08:00:00,15.706724337598523,15.382465313582422,15.331619572725243,15.271081704644743,15.296701008161266,-4.144129561023409,-1.834553720777064,-1.943874079499685,-1.972745436740394,-2.0049503303519636,-1.9868907216509089 
 01/08  09:00:00,15.78204257935646,15.27919173429349,15.30165508811443,15.314854130287536,15.336569670862522,-0.6991800111570594,-1.8175459915581245,-1.9020827515117704,-1.9193636255843458,-1.986476954290615,-1.9685134906894197 
 01/08  10:00:00,15.853911626667843,15.30588378397514,15.190987972581038,15.142273332871845,15.182735481811289,2.433187240976192,-1.8045229973472108,-1.9116370279540056,-1.9521055743351323,-2.0022097202934726,-1.9815291493977822 
 01/08  11:00:00,16.20532700440929,15.264009380317647,15.397664173937255,15.331270218150545,15.356904099408084,2.1473197098297483,-1.7561763819456488,-1.934484860716594,-1.9397175099741588,-1.9779513535933038,-1.95997320178963 
 01/08  12:00:00,16.291913970397506,15.249245946464637,15.27094986116173,15.366571772155842,15.38734500718477,1.4343426536103918,-1.7408100097394068,-1.9420231387484115,-1.9599142563051886,-1.9684650474541778,-1.9528057045518743 
 01/08  13:00:00,16.322847806729655,15.251575737248572,15.386180286303965,15.202512858911017,15.238160271823087,2.640930523343025,-1.7344470353150165,-1.9328131612399317,-1.9442495593769495,-1.984380768140165,-1.9668545057535431 
 01/08  14:00:00,16.371414138082592,15.37906568809656,15.407423567924685,15.37384300601682,15.26321031740814,5.917500319777188,-1.723712510433225,-1.8651228853058506,-1.9324504379342387,-1.9539981304415404,-1.9399919416367513 
 01/08  15:00:00,16.463774676839428,16.26812680072442,15.30435528600919,15.40194235684101,15.56300871139818,9.854414219538956,-1.7032056132919033,-1.6805930648451202,-1.9377488572880517,-1.942852589908961,-1.8515258961916854 
 01/08  16:00:00,16.601933441235303,16.650141764072337,15.19785067263207,15.246618901799966,15.961097893832726,9.50681567914035,-1.671948552982548,-1.5934753652239264,-1.9522251197942135,-1.961248132752993,-1.74470301852791 
 01/08  17:00:00,16.704968209214254,16.238877268873047,15.38161438820113,15.35550304049235,15.92908599467411,4.638283624303325,-1.6497744414052136,-1.6787644036781568,-1.934530854619426,-1.9538613703858152,-1.7499476554321203 
 01/08  18:00:00,16.64865629030656,15.332925376074408,15.361460189419265,15.342370901540924,15.355190886073615,-1.7257416988983745,-1.664767451297139,-1.8611504850189133,-1.951339892131335,-1.9669166102595208,-1.888371505766103 
 01/08  19:00:00,16.526356777943125,15.312396321744018,15.136707065000266,15.110634362531716,15.182404187256429,-6.0734895014797114,-1.6910667866071771,-1.9000109398138174,-1.9941796628042527,-2.0083649265022365,-1.9452936257333417 
 01/08  20:00:00,16.43095534182819,15.199764259031095,15.28432623207133,15.271411465603059,15.223431086377218,-8.218213175823353,-1.711261762558691,-1.9381393514500826,-1.9857164411147528,-1.9964961174392832,-1.9585005315296784 
 01/08  21:00:00,16.36276752978167,15.398596398329687,15.308334997428775,15.298192630952514,15.347126087529887,-9.30913850214307,-1.725599819192983,-1.9249656055292768,-1.9875932766389202,-1.9968541258714052,-1.9562490667608852 
 01/08  22:00:00,16.31394746407038,15.38020906236236,15.04084777765581,15.031763657295992,15.332160637789539,-9.617095679356563,-1.7358903781723543,-1.9354511001558299,-2.0270391156526095,-2.0350657240853405,-1.9655677168430614 
 01/08  23:00:00,16.281343486512046,15.186495155348704,15.23459050583428,15.231260063922802,15.101961498758072,-8.840781091956366,-1.74287883878305,-1.9686259181807206,-2.0083016315617965,-2.01458073413554,-2.002526444183869 
 01/08  24:00:00,16.25785505774355,15.333775183493929,15.269319866666308,15.267400464996644,15.279953168405964,-8.83074296885486,-1.7480251981177788,-1.956534767310552,-2.005144229863546,-2.010392052949638,-1.9859240016213988 
 01/09  01:00:00,16.46639896443096,15.390330268615951,15.093094513355362,15.090848927635752,15.34328272988455,-8.815488300629525,-1.7195501013564753,-1.9539182073795727,-2.0311042911580652,-2.0360622080352924,-1.981433812193822 
 01/09  02:00:00,16.501843507195407,15.249741508771958,15.295494801646738,15.29376188230112,15.16697475103745,-9.075285826294575,-1.712621945221464,-1.9751556223251776,-2.0070368496708424,-2.0114732699427815,-2.006762213957019 
 01/09  03:00:00,16.515931746210317,15.385307202146858,15.323241443262285,15.323123747315314,15.335278383878233,-7.95586761640276,-1.7097696779513933,-1.961215291783614,-2.0028947771163406,-2.0063099989575646,-1.9883682544729937 
 01/09  04:00:00,16.526152485578212,15.399027802403266,15.123020888084959,15.123419607124696,15.356199572957925,-7.35915657778165,-1.7076472517087513,-1.9616113896624485,-2.0308657507346917,-2.033719788134892,-1.9868293654236029 
 01/09  05:00:00,16.532980615977007,15.257355293187675,15.31511560179757,15.315517986801439,15.181915208477525,-7.059183639090014,-1.7061722547595852,-1.9830874185534015,-2.0086831949959487,-2.0110961836715417,-2.011852376382604 
 01/09  06:00:00,16.53708105663462,15.38851097478909,15.33558070208802,15.336805598433454,15.34483163208191,-7.123921231250549,-1.705326293203672,-1.970662292405653,-2.006621792692295,-2.0083848115946585,-1.9945773404929623 
 01/09  07:00:00,21.121080473948524,20.071812243923624,20.68236246148231,19.52224471808937,21.694089714082338,-8.210456632191125,-1.0190112294175664,-1.2695557069200956,-1.2023173653832926,-1.3790364257075987,-1.0411041725267642 
 01/09  08:00:00,21.92118421286115,20.284141995647342,21.109469183381616,20.623757796167055,22.59522149389926,-9.276530902807465,-0.8020255793762536,-1.131297017955366,-0.9954465991477737,-1.123766472138,-0.7697508011134502 
 01/09  09:00:00,22.5983211245723,22.48199429021957,21.110002756750077,21.86383696005654,22.609996508899133,-4.7223478203188805,-0.6161341481304035,-0.669751242118152,-0.8618763388325874,-0.8596933301484011,-0.6830258667940159 
 01/09  10:00:00,22.610001268733868,22.609954970538933,21.110000003317957,22.53254444200723,22.6100000105255,3.9808602813947362,-0.5393937662917274,-0.5166980287220477,-0.7988662547255169,-0.6785311463394548,-0.618936648939156 
 01/09  11:00:00,22.61000000034751,22.609999979713116,20.55826623533762,22.47142396363671,22.61000000001883,12.554398905566993,-0.49243806569839055,-0.43423871168096684,-0.865435350830937,-0.6317124863997567,-0.5741624665914287 
 01/09  12:00:00,22.610000000000102,22.609999999989057,21.075414665340187,22.609631155784673,22.610000000000035,18.903861633948168,-0.4539439735231067,-0.36660802824121963,-0.8033824007186395,-0.5759042767182723,-0.5402629307937881 
 01/09  13:00:00,22.609999999999996,22.609999999999992,20.558358474065983,22.609999892738955,22.61,22.49781866742463,-0.4254069580391809,-0.3280586041158819,-0.8643991559572362,-0.5534179411873531,-0.5153768439070883 
 01/09  14:00:00,22.610000000000003,22.732097692799652,21.075107442363446,22.609999999967116,22.609999999999996,22.80102966268994,-0.3978558782135909,-0.2819381967912,-0.782355090690192,-0.5325983626803656,-0.4689245726317012 
 01/09  15:00:00,22.61,22.957805716517917,20.55684280930498,22.60999999999999,22.610000000000007,20.802678618483405,-0.3745883548838027,-0.22400500965718864,-0.8421150651537705,-0.5104745817409198,-0.4143676048027824 
 01/09  16:00:00,22.61,22.92775260940338,21.074639507711353,22.61,22.61,16.95514801719552,-0.35793375599279553,-0.22204258851759942,-0.7640108691011445,-0.49270820739644633,-0.36567739490282 
 01/09  17:00:00,22.61,22.61968649823286,21.109945709557472,22.610000000000003,22.61,11.052024802521084,-0.34322577669856913,-0.30920110339832774,-0.7489237922267651,-0.4835555554951254,-0.36988112685803 
 01/09  18:00:00,22.610000000000003,22.610008920789042,21.109999913255063,22.61,22.61,4.744271317118919,-0.3538890303926649,-0.38222564647226986,-0.7609602942446763,-0.4914501069454043,-0.42452289327958487 
 01/09  19:00:00,22.61,22.610000006011106,21.10999999986722,22.610102431594214,22.61,0.5730169165260874,-0.3768625305832438,-0.42143872467145926,-0.7749924786870872,-0.5053271348860386,-0.452008599540391 
 01/09  20:00:00,20.71888075175991,20.68817480836155,19.004751341276346,19.57361055749876,20.10582865221792,-1.84591489287511,-0.6508091627903472,-0.7133053174132512,-1.083864352072181,-0.9538735860500906,-0.8258650768130619 
